"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Side","Deck"
"1","0","3","male",22,1,0,7.25,"S","Mr",NA,""
"2","1","1","female",38,1,0,71.2833,"C","Mrs",NA,"C"
"3","1","3","female",26,0,0,7.925,"S","Miss",NA,""
"4","1","1","female",35,1,0,53.1,"S","Mrs",NA,"C"
"5","0","3","male",35,0,0,8.05,"S","Mr",NA,""
"6","0","3","male",30,0,0,8.4583,"Q","Mr",NA,""
"7","0","1","male",54,0,0,51.8625,"S","Mr",NA,"E"
"8","0","3","male",2,3,1,21.075,"S","Master",NA,""
"9","1","3","female",27,0,2,11.1333,"S","Mrs",NA,""
"10","1","2","female",14,1,0,30.0708,"C","Mrs",NA,""
"11","1","3","female",4,1,1,16.7,"S","Miss",NA,"G"
"12","1","1","female",58,0,0,26.55,"S","Miss",NA,"C"
"13","0","3","male",20,0,0,8.05,"S","Mr",NA,""
"14","0","3","male",39,1,5,31.275,"S","Mr",NA,""
"15","0","3","female",14,0,0,7.8542,"S","Miss",NA,""
"16","1","2","female",55,0,0,16,"S","Mrs",NA,""
"17","0","3","male",2,4,1,29.125,"Q","Master",NA,""
"18","1","2","male",30,0,0,13,"S","Mr",NA,""
"19","0","3","female",31,1,0,18,"S","Mrs",NA,""
"20","1","3","female",35,0,0,7.225,"C","Mrs",NA,""
"21","0","2","male",35,0,0,26,"S","Mr",NA,""
"22","1","2","male",34,0,0,13,"S","Mr",NA,"D"
"23","1","3","female",15,0,0,8.0292,"Q","Miss",NA,""
"24","1","1","male",28,0,0,35.5,"S","Mr",NA,"A"
"25","0","3","female",8,3,1,21.075,"S","Miss",NA,""
"26","1","3","female",38,1,5,31.3875,"S","Mrs",NA,""
"27","0","3","male",30,0,0,7.225,"C","Mr",NA,""
"28","0","1","male",19,3,2,263,"S","Mr",NA,"C"
"29","1","3","female",22,0,0,7.8792,"Q","Miss",NA,""
"30","0","3","male",30,0,0,7.8958,"S","Mr",NA,""
"31","0","1","male",40,0,0,27.7208,"C","Mr",NA,""
"32","1","1","female",35,1,0,146.5208,"C","Mrs",NA,"B"
"33","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"34","0","2","male",66,0,0,10.5,"S","Mr",NA,""
"35","0","1","male",28,1,0,82.1708,"C","Mr",NA,""
"36","0","1","male",42,1,0,52,"S","Mr",NA,""
"37","1","3","male",30,0,0,7.2292,"C","Mr",NA,""
"38","0","3","male",21,0,0,8.05,"S","Mr",NA,""
"39","0","3","female",18,2,0,18,"S","Miss",NA,""
"40","1","3","female",14,1,0,11.2417,"C","Miss",NA,""
"41","0","3","female",40,1,0,9.475,"S","Mrs",NA,""
"42","0","2","female",27,1,0,21,"S","Mrs",NA,""
"43","0","3","male",30,0,0,7.8958,"C","Mr",NA,""
"44","1","2","female",3,1,2,41.5792,"C","Miss",NA,""
"45","1","3","female",19,0,0,7.8792,"Q","Miss",NA,""
"46","0","3","male",30,0,0,8.05,"S","Mr",NA,""
"47","0","3","male",30,1,0,15.5,"Q","Mr",NA,""
"48","1","3","female",22,0,0,7.75,"Q","Miss",NA,""
"49","0","3","male",30,2,0,21.6792,"C","Mr",NA,""
"50","0","3","female",18,1,0,17.8,"S","Mrs",NA,""
"51","0","3","male",7,4,1,39.6875,"S","Master",NA,""
"52","0","3","male",21,0,0,7.8,"S","Mr",NA,""
"53","1","1","female",49,1,0,76.7292,"C","Mrs",NA,"D"
"54","1","2","female",29,1,0,26,"S","Mrs",NA,""
"55","0","1","male",65,0,1,61.9792,"C","Mr",NA,"B"
"56","1","1","male",30,0,0,35.5,"S","Mr",NA,"C"
"57","1","2","female",21,0,0,10.5,"S","Miss",NA,""
"58","0","3","male",28.5,0,0,7.2292,"C","Mr",NA,""
"59","1","2","female",5,1,2,27.75,"S","Miss",NA,""
"60","0","3","male",11,5,2,46.9,"S","Master",NA,""
"61","0","3","male",22,0,0,7.2292,"C","Mr",NA,""
"62","1","1","female",38,0,0,80,"","Miss",NA,"B"
"63","0","1","male",45,1,0,83.475,"S","Mr",NA,"C"
